Order No.,Products,Date
4833,P1061 P18 P774 P33 P777 P1214 P194 P816 P312 P1673 P460 P525 P1355 P113 P1427 P81 P1522 P688 P429 P427 P296 P690 P199 P383 P382 P407 P1349 P1065 P625 P620 P29 P380 P679 P966 P1122 P147 P2476 P78 P885 P1260 P2051 P310 P54 P82 P1276 P176 P3 P1278 P2938 P1797 P961 P15 P135 P281 P1430 P1575 P139 P60 P358 P923 P1612 P237 P2266 P749 P2429 P778 P779 P1091 P786 P244 P111 P772 P77 P591 P76 P1768 P1825 P1516 P181 P1379 P2245 P799 P1408 P372 P703 P443 P2383 P401 P2761 P808 P811 P2865 P1421 P736 P1162 P353 P984 P985 P66 P758 P295 P973 P977 P168 P1324 P999 P1109 P50 P171 P172 P65 P481 P1177 P90 P92 P1008 P317 P288 P203 P2518 P2958,2013-3-29
4834,P3429 P4030 P40 P392,2013-3-29
4835,P187 P436 P3733 P10,2013-3-29
4836,P139,2013-3-29
4837,P598 P1641 P2692 P1844 P2457 P1797 P831 P123 P1016 P2383 P1024 P1584 P1680 P664 P839 P518 P226 P742 P1574 P1225 P1122 P1181 P237 P904 P342 P2499 P192 P625 P620 P2397,2013-3-29
4838,P58 P261 P1 P212,2013-3-29
4839,P3756 P3759 P3755 P169 P159 P3620 P3619 P36 P386 P389 P1339 P49 P3565 P693 P3527 P3528 P3102,2013-3-29
4840,P3453,2013-3-29
4841,P137 P3301 P263 P3583 P46 P3745 P416 P1752 P167 P619 P3664 P153 P3532 P3659 P210,2013-3-29
4842,P2135,2013-3-29
4843,P3632 P1808 P1597,2013-3-29
4844,P79 P3226 P3231 P3228 P3227 P750 P404 P248 P1457,2013-3-29
4845,P272 P8 P149,2013-3-29
4846,P2932 P3667 P3678 P3674 P3408 P81 P641 P3419 P3420 P749 P748 P279 P372 P281 P3614 P431 P1492 P226 P135 P985 P3299 P829 P3304 P984 P39 P762 P1166 P1619 P22 P163 P164 P49 P649 P2011 P1959 P2412 P69 P1365 P3511 P3509 P288 P70 P69 P72 P264 P3430 P3418 P3417 P1382 P1381 P1998 P1138 P796 P1757 P1383 P1361 P195 P549 P1130 P1027 P644 P1975 P453 P265 P66 P263 P291 P3410 P137 P3301 P3305 P10 P378 P367 P379 P994 P404 P1731 P1730 P3722 P3722 P3740 P3743 P3739 P185 P401 P122 P3518 P3524 P3519,2013-3-29
4847,P381 P1137 P2357 P126 P127 P568 P1966 P2850 P1911 P1562 P58 P506 P1024 P2171 P2771 P2680 P462 P744 P1679 P1761 P2472 P1445,2013-3-29
4848,P156,2013-3-29
4849,P659 P1007 P3456 P10 P3936 P3947 P3950,2013-3-29
4850,P539 P1402 P237 P1275 P82 P91 P1005 P1177 P3715 P2418 P3545 P4014 P3397 P4011 P1073 P27 P29 P204 P127 P3918 P305 P3775 P752 P138 P55 P54 P634 P196 P1026 P58 P3727 P7 P3715 P3813 P3738 P3573 P145 P1091 P3789 P3950 P1725 P947 P1718 P2110 P1496 P1495 P2071 P1497 P2208 P934 P1318 P2430 P2215 P941 P1312 P483 P1987 P489 P490,2013-3-29
4851,P91 P92 P1090 P714 P200,2013-3-29
4852,P2254 P2494 P1122 P1240 P184 P1390 P2082 P1064 P2232 P719 P2167 P2083 P2127 P1942 P2128 P475 P1090 P1275 P1004 P1363,2013-3-29
4853,P3956,2013-3-29
4854,P1612 P655 P295 P704 P458 P169 P234 P2057 P1880 P2163 P3102 P458 P258 P169 P295 P1423 P655 P870 P1986 P591 P3359 P440 P134 P591 P1986 P424 P3047 P570 P235 P295 P704 P1413 P1489 P418 P875 P1028 P1979 P217 P169 P607 P570 P2057 P601 P655 P184,2013-3-29
4855,P762 P62 P3299 P3304 P3408,2013-3-29
4856,P3936 P3878 P3722 P3711 P3709 P3702 P3719 P3813 P3701 P3745 P3733 P57 P3862,2013-3-29
4857,P3207,2013-3-29
4858,P1917 P3756 P3765 P1567 P521 P3754 P710 P3771 P1206 P412 P464 P810 P1238 P507 P689 P426 P184 P299 P281 P226 P2383 P3406 P264 P3302 P440 P216 P175 P1918 P3464 P3463 P433 P3773 P3341 P350 P3539 P3540 P258 P185 P321 P292 P264 P435 P401 P3613 P3614 P3607 P1344 P849 P857 P505 P3446 P3525 P3759 P664,2013-3-29
4859,P619,2013-3-29
4860,P129 P553 P724 P723 P26 P18 P19 P3432 P3447 P121 P133 P132 P1198 P3544 P1957 P52 P1364 P3 P266 P131 P53 P55 P839 P54 P3433 P2962 P1338,2013-3-29
4861,P3797 P3800 P250 P1481 P3888 P3102 P3093 P1878 P631 P3562 P3561,2013-3-29
4862,P664,2013-3-29
4863,P1061 P1835 P629 P1203 P1948 P2545 P1760 P2087 P1205 P1198 P567 P2544 P295 P126 P2494 P2254 P1418 P1490 P1356 P1825 P637 P636,2013-3-29
4864,P266,2013-3-29
4865,P4 P995 P5 P815 P1494 P1495 P1496 P1497 P1498 P1499 P485 P1500 P1501 P1502 P1503 P1315 P1504 P113 P1505 P1506 P1343 P459 P1507 P47 P381 P1506 P1507 P6 P245 P385 P177 P69 P619 P1508 P411 P1509 P316 P177 P1510 P1511 P993 P316 P424 P104 P452 P321 P245 P1512 P1513 P424 P196 P1507 P206 P8 P710 P295 P759 P10 P1 P41 P177 P331 P316 P1406 P383,2013-3-29
4866,P584 P3418 P3505 P3410 P651 P493 P3800 P143 P3951 P3835 P3838 P296 P2181 P329 P1878 P1369 P3667 P264 P3305 P3956 P3821 P285 P905,2013-3-29
4867,P724 P3433 P55 P53 P3448 P3432 P1070 P1364 P19 P18 P54 P144 P662 P2151 P2865,2013-3-29
4868,P1394 P1081 P754 P309 P2006 P71 P874 P274 P275 P71 P78 P2828 P78 P876 P199 P1765 P243 P3220 P1561 P2023,2013-3-29
4869,P1029 P1028 P827 P1994 P1510 P1995 P123 P307 P2618 P571 P862 P861 P863 P416 P3524 P911 P430 P3440 P1784,2013-3-29
4870,P329 P3365 P153 P129 P3578 P3573 P85 P993 P1349 P3966 P1386 P305,2013-3-29
4871,P3164 P3169 P3165 P3167 P3168 P3166,2013-3-29
4872,P429 P48 P1204 P1331 P48 P1735 P339 P41 P3184 P1005 P1177 P2679 P1166 P192 P3172 P311 P673,2013-3-29
4873,P167,2013-3-29
4874,P2234 P6 P178 P411 P994 P401 P1623 P1650 P850 P849 P1363 P404 P388 P603 P378,2013-3-29
4875,P1070,2013-3-29
4876,P1826 P2163,2013-3-29
4877,P2341,2013-3-29
4878,P3165 P3167 P3168,2013-3-29
4879,P33 P786 P224 P853 P3947 P3966 P3951 P537 P79 P1209 P3652 P3819 P3650 P3651 P3653 P3518,2013-3-29
4880,P1536 P1542 P1491 P683 P105 P601 P6 P861 P1162 P292 P293 P291 P60 P81 P139 P1618 P164 P163 P78 P194 P22 P2229 P2131 P1414 P265 P1398 P2603 P715 P160 P1248 P1965 P2602 P149 P156 P158 P238 P1402 P1447 P440 P215 P1231 P63 P132 P1033 P1059 P460 P637 P133 P2846 P220 P1567 P1206 P629 P1205 P712 P514 P170 P169 P606 P363 P131 P28 P29 P1489 P125 P654 P772 P76 P77,2013-3-29
4881,P2946 P1641 P3172 P3099 P1151 P87 P583 P2335 P1252 P37 P2332 P1955 P2479 P2706 P1884 P2654 P2652 P1405 P359 P3279 P927 P2899 P478 P1948 P1948 P1947 P1948 P1901 P1253 P1901 P452,2013-3-29
4882,P532,2013-3-29
4883,P3579 P3576 P84 P3578 P3573 P1092 P3399 P1599 P3319 P531,2013-3-29
4884,P2280 P47 P66 P1489 P34 P50 P172 P151 P354 P452 P461 P613 P1010 P965 P1014 P56 P144 P2281 P145 P551 P433 P301 P1646 P503 P707 P705 P188 P789 P790 P220 P221 P562 P375 P376 P1546 P660 P162 P1074 P543 P59 P1639 P125 P307 P210 P126 P127 P424 P1511 P311 P192 P2234 P1650 P850 P383 P855 P17 P37 P712 P1640 P1405 P41 P1111 P659 P2246 P48 P1641 P1624 P1625 P750 P240 P242 P1275 P905 P4 P1626 P139 P200 P1365,2013-3-29
4885,P29 P27 P28 P1132 P204 P1894 P1993 P2145 P2238 P185 P401 P329 P368 P13 P380 P411 P3730 P218 P216 P175 P91 P200 P92 P1208 P1177 P1353 P3909 P3910 P381 P3583 P18,2013-3-29
4886,P3527 P3565,2013-3-29
4887,P1575 P1674 P2521 P3407 P3444 P1 P2391 P2940 P1862 P3337 P202 P3333 P3714 P559 P3545 P3616,2013-3-29
4888,P1645 P3901 P3706 P1203,2013-3-29
4889,P140,2013-3-29
4890,P1239 P620 P213 P3303 P212 P360 P625,2013-3-29
4891,P1622 P1386 P1511 P598 P636 P302 P966 P1253 P22 P78 P1641 P1624 P2352 P2646 P82 P1275 P714 P430 P1652 P2288 P1654 P2282 P2469 P1600 P773 P61 P1351 P354 P91 P2190 P479 P1197 P1619 P436 P772 P790 P305 P1621 P2043 P821 P1220 P68 P1427,2013-3-29
4892,P163 P164 P1239 P1133 P454 P213 P2603 P637 P635 P100 P105 P2357 P799 P1640 P1012 P212 P1251 P464 P460 P885 P3103 P2262 P2263 P3105 P3093 P3104 P3095 P3100 P3091 P3090 P3101 P3094 P3092 P41 P891 P461 P415 P3088 P658 P2042 P418 P290 P289 P72 P71 P288 P417 P72 P69 P2145 P147 P1877 P1085 P836 P1809 P37 P36 P1090 P244 P1208 P91 P92 P1004 P1275 P200 P287 P704 P286 P285,2013-3-29
4893,P206 P197 P2383 P3463 P788 P79 P1349 P299 P3399 P1608 P693 P3196,2013-3-29
4894,P3231 P531,2013-3-29
4895,P139 P59 P3300 P358 P1427 P353 P63 P1135,2013-3-29
4896,P3956 P3957 P3814 P995 P66 P3410 P3993 P1728 P1768 P1769 P788,2013-3-29
4897,P3927,2013-3-29
4898,P3795 P3792 P3874 P3866 P3861 P3862 P1809 P1084 P2816 P914 P859 P322 P491 P499 P395 P135 P3649 P3659 P1470 P46 P167,2013-3-29
4899,P1641 P158 P159 P48 P58 P657 P656 P415 P414 P701 P362 P36 P834 P263 P137 P304 P860 P6 P861 P1068 P862 P76 P358 P291 P1976 P2793 P2830 P1380 P548 P1379 P1361 P1130 P1138 P1131 P1355 P1080 P110,2013-3-29
4900,P550 P1131 P866 P395 P322 P1380 P368 P1131 P3005 P606 P511 P362 P1111 P2757 P36 P362 P3219 P3737 P1966 P816 P3429 P3710 P3708 P253 P252 P3877 P3875,2013-3-29
4901,P153 P154 P33 P120 P155 P156 P157 P158 P29 P28 P159 P160 P161 P162,2013-3-29
4902,P561,2013-3-29
4903,P2533,2013-3-29
4904,P3813 P3869 P3876 P391 P3789 P187 P1608 P401 P603 P994 P631 P630 P3814 P3420 P3614 P549 P3678 P302 P197 P206 P444 P264 P3410 P3821 P3525 P3518 P285 P3524 P3607 P3547 P3549 P290 P288 P29 P28 P305 P584,2013-3-29
4905,P3355 P3325 P2537 P2171 P1130 P1131 P1568 P3036 P2117 P852,2013-3-29
4906,P78 P391 P880 P1259 P1814 P1266 P890 P894 P896 P1012 P217 P1589 P1380 P2039 P1672 P146 P2564 P1312 P2430 P2215 P2316 P2219 P1499 P2521 P460 P1648 P814 P342 P673 P169 P1063 P2029 P518 P742 P2193 P103 P1643 P1329 P982 P1169 P1171 P999 P1372 P901 P726 P140 P52 P121 P904 P240 P1279 P2056 P959 P960 P15 P1918 P1 P1199 P31 P1130 P269 P2935 P110 P1131 P2095 P312 P273 P406 P1223 P831 P531 P133 P125 P123 P307 P199 P383 P382 P747 P1237 P88 P1240 P475 P2082 P1064 P538 P319 P314 P2602 P13 P274 P275 P84 P1392 P108 P276 P432 P679 P419 P1253 P584 P418 P212 P1015 P203 P2891 P2711 P2073 P2486 P2372 P2220 P1717 P946 P948 P2321 P2815 P749 P2267 P1988 P1749 P2801 P1711 P1310 P2562 P2563 P2214,2013-3-29
4907,P1773 P445 P2006 P1081 P1112 P532 P1234 P337 P1080 P239 P754 P893 P755 P21 P10 P738,2013-3-29
4908,P531 P2397 P625 P286 P10 P1641 P241,2013-3-29
4909,P409 P407 P408 P1784 P3499 P3494 P3495 P3496 P3380 P3473 P46 P3529 P393 P167 P3570 P99 P3555 P3715 P3616 P1607 P403 P3446 P3937 P3938,2013-3-29
4910,P272,2013-3-29
4911,P1369 P78 P3682 P681 P6,2013-3-29
4912,P889,2013-3-29
4913,P1456 P1448 P35 P1222 P62 P183 P1510 P827 P1994 P1995 P293 P3305 P3410 P264 P361 P291 P3303 P292 P3406 P81 P77 P3408 P360 P181 P426 P183 P68 P3535 P698 P180 P410 P67 P1646 P169,2013-3-29
4914,P249 P1153,2013-3-29
4915,P305 P531 P582 P646 P860 P3218 P3217 P1077 P1641,2013-3-29
4916,P754 P211 P21 P21 P893 P310 P309 P738 P337 P1355 P110 P1604 P2006 P755,2013-3-29
4917,P216 P3733 P215 P5 P57 P440 P182 P206 P197 P3738 P8 P3464 P3463 P263 P264 P3956 P984 P62 P711 P2054 P46,2013-3-29
4918,P234 P3555 P1668 P197 P3591 P224 P129 P196 P206 P419 P3816 P33 P3340 P3950 P3217 P1632 P153 P1416 P2229 P3429 P1003 P761 P1358 P75 P619 P2420 P1668 P1918 P3948 P693 P1562 P1607 P3440 P3446 P1100 P808 P464 P3419 P809 P838 P341 P1199 P774 P3419 P1403 P169 P220 P3312 P2415 P3591 P1949 P703 P220 P187 P1079 P3935 P1878 P1560 P3653 P3652 P3551 P838 P57 P187 P687 P60 P77 P3593 P3592 P3427 P3425 P3523 P620 P2397 P612 P612 P3464 P3463 P726 P4000 P1983 P3660 P3649 P393 P660 P398 P3545 P3555 P10 P3445,2013-3-29
4919,P798 P553 P1511 P229 P686 P1355 P1773 P755 P1081 P663 P636 P635 P637 P733,2013-3-29
4920,P1121 P269 P1934 P972 P475 P1363 P1391 P160 P3659 P396 P3745 P1090 P240 P242 P1380 P694 P3875 P3877 P3462 P3219 P1393 P148 P204 P2885 P159 P167,2013-3-30
4921,P3017,2013-3-30
4922,P1475 P2335 P680 P2829 P1592 P2905 P142 P42 P852 P404 P1608 P1224 P1585 P227 P1298 P3421 P3419 P367 P382 P603 P227 P571 P863 P1068 P185 P360 P520 P493 P340 P603 P142 P426 P689 P178 P952 P1286 P224 P40 P143 P3150 P627 P968 P1388 P840 P401 P111 P3449 P2383 P1484 P2243 P3122 P1244 P11 P1243 P79 P35 P360 P12 P112 P853 P1878 P1369 P3420 P264 P1388 P840 P3088 P3429 P1349 P303 P1286 P303 P313 P3429 P694 P1185,2013-3-30
4923,P1464,2013-3-30
4924,P1324,2013-3-30
4925,P108,2013-3-30
4926,P266 P89 P789 P1583 P997 P3540 P3539 P3506 P3538 P813 P1458 P3579 P749 P2593 P1540 P3437 P60 P77 P358 P174 P3860 P3602 P3764 P3772 P12 P1526 P416 P987 P417 P19 P2601 P388 P1068 P861 P571 P863 P3104 P2625 P3446 P1858 P3505 P185 P307 P658 P3765 P3614 P3500 P3501 P3498 P3496 P3494 P3499 P3508 P3492 P3537 P3611 P3610 P3490 P357 P808 P1385 P1061 P83 P1092 P46 P3616 P2939 P651 P493 P1234 P442 P1029 P1028 P567 P3561 P612 P329 P479 P49 P1688 P545 P1127 P2114 P3091 P1451 P1452 P288 P1453 P1450 P3636 P994 P452 P1351 P3057 P1857 P823 P1011 P2443 P2491 P527 P1692 P3867 P526 P848 P3463 P716 P1433 P1848 P3464 P3465 P1986 P3733 P444 P440 P5 P175 P216 P217 P463 P96 P906 P908 P3089 P3101 P522 P3421 P3419 P1087 P290 P162 P807 P161 P1638 P1231 P100 P618 P1064 P3141 P2232 P14 P2637 P464 P260 P698 P420 P640 P188 P811 P1186 P1230 P837 P298 P993 P1324 P1166 P645 P1890 P574 P575 P572 P576 P577 P573 P3048 P1608 P606 P37 P79 P1242 P1773 P2511 P648 P432 P449 P697 P699 P410 P494 P3527 P3528 P687 P1241 P1648,2013-3-30
4927,P2636 P710,2013-3-30
4928,P403 P518 P2476 P2254 P2494 P126 P2804 P1473 P1671 P70 P70 P2254 P583 P2706 P930 P2081 P2080 P2233 P2620 P466 P465 P2494 P2815 P1108 P580 P1892 P1893 P78 P415 P3048 P3057 P1167 P199 P877 P425 P426 P178 P285 P286 P528 P1448 P285 P201 P529 P1047 P2919 P332 P1384 P1384 P364 P1581 P66 P1582 P402 P145 P151 P1360 P723 P18 P2121 P33 P18 P26 P111 P1396 P1666 P2603 P1425 P188 P222 P55 P54 P36 P2602 P511 P1402 P1650 P561 P1242 P2380 P1166 P323 P772 P139,2013-3-30
4929,P819 P1074 P2076 P2077 P727 P386 P2671 P1339 P389,2013-3-30
4930,P752 P1602 P55 P54 P1402 P1181 P1639 P1070 P125 P24 P1364 P23 P1440 P1618 P1350 P144 P53 P755 P738,2013-3-30
4931,P657 P3527 P1563 P178 P378 P367 P13 P411 P3088 P3733 P158 P159 P1470 P1356 P186 P1608 P1878 P1560 P3829 P1145 P292 P3993 P3410 P263 P3955 P3406 P3957 P139 P3583 P3408 P376 P375 P457 P368 P46 P528 P3820 P693 P1245 P862,2013-3-30
4932,P1897 P733 P3451 P2618 P266 P3530 P1132 P27 P204 P205 P28 P29 P2639,2013-3-30
4933,P52 P203 P1016,2013-3-30
4934,P3526 P71 P69 P418 P310 P1080 P755 P1081 P893 P1575,2013-3-30
4935,P22,2013-3-30
4936,P1641 P1269 P1268 P1353 P1009,2013-3-30
4937,P206 P8 P9 P869 P656 P656 P169 P2021 P3385 P3226 P3231 P3227 P37 P38 P3654,2013-3-30
4938,P9 P1424 P1081 P786 P206 P196 P197 P216 P4 P88 P805 P1351 P78 P1355 P755 P868,2013-3-30
4939,P2790 P1480 P2131 P1840 P1768 P671 P2670 P75 P1446 P2566 P972 P974 P1079 P1078,2013-3-30
4940,P1875 P1211 P1234,2013-3-30
4941,P54 P88 P415 P891 P461 P105 P196 P9 P8 P1397 P1013 P600 P63 P64 P1448 P139,2013-3-30
4942,P147 P704 P412 P22 P3831 P3832 P3839 P1877 P914 P1084 P3088 P3347 P894 P1918 P41 P199 P3821 P78,2013-3-30
4943,P171 P511 P969 P602 P1344 P805 P1431,2013-3-30
4944,P3399 P1641 P1633 P988 P570 P122 P359 P1405 P617 P2612 P232 P233 P1402 P3468 P839 P3464 P545 P1205,2013-3-30
4945,P1759 P1599 P162 P564 P1 P305,2013-3-30
4946,P2383 P1349 P1526 P106 P3196,2013-3-30
4947,P192 P721,2013-3-30
4948,P2627 P1760 P1814 P537 P929 P321 P1437 P413 P2418 P1419 P2582 P217 P2850 P440 P3465 P1152 P1081 P1020 P2364 P1015 P2903 P2847 P1437 P1911 P3099 P682 P295 P2680 P879 P2771 P295 P2680 P2772 P1029 P2133 P2501 P2515 P1449 P13 P291 P3028 P59 P366 P1020 P600 P2567 P1026 P2627 P2446 P1152 P2502 P1946 P879 P295 P1993 P198 P269 P161 P2680 P1015,2013-3-30
4949,P46 P408 P407 P409 P506 P1121 P1100 P1099 P3476,2013-3-30
4950,P165,2013-3-30
4951,P3901 P3848 P3436 P391 P329 P993 P378 P1490 P860 P85 P3321 P310 P110 P3864,2013-3-30
4952,P1090 P237 P200 P91 P409 P407 P408 P402,2013-3-30
4953,P1005 P91 P92 P1090 P242 P240 P904 P482 P1,2013-3-30
4954,P277 P751 P1734 P2416 P650 P88 P1384 P1385 P1061 P1092 P83 P1194 P413 P276 P1041 P1684 P1252 P3302 P69 P418 P289 P70 P3509 P417 P317 P2045 P875 P3652 P3650 P606 P149 P3585 P3048 P711 P3521 P3834 P3826 P3833 P3832 P62 P3408 P1166 P292 P3746 P3757 P3767 P3769 P701 P699 P698 P3768 P179 P697 P3677 P2899 P1531 P680 P1592 P3674 P1491 P2328 P3673 P3814 P1409 P630 P429 P427 P45 P33 P300 P2383 P360 P392 P262 P3430 P3535 P3217 P35 P40 P44 P425 P692 P1135 P600,2013-3-30
4955,P172 P1451 P65 P171 P1452 P1684 P552 P841 P250 P3226 P3399 P1641 P649 P303 P1373 P3652 P3650 P3654 P3723 P3196 P3684 P3685 P3228 P2678 P609 P2766 P2581 P38 P3544 P3566 P3568 P3567 P715 P1965 P87 P3525 P328 P642 P876 P327 P2793 P2328 P2899 P680 P1531 P531 P1450,2013-3-30
4956,P1607 P1115 P559 P3473 P127 P249 P859 P372 P281 P1090 P92 P1005 P738,2013-3-30
4957,P1136 P3312 P1053 P1903 P1054 P10 P54 P55 P920,2013-3-30
4958,P55 P3102 P3104 P3581 P310 P239 P3607 P1492 P279 P431 P349 P3172 P3098 P3653 P3650 P3652 P634 P3146 P226 P2497 P232 P3435 P1900,2013-3-30
4959,P362,2013-3-30
4960,P2040 P1297 P906 P907 P908 P2444 P2608 P1374 P78 P711 P127 P162 P72 P247 P218 P1491 P2177 P329 P382 P185,2013-3-30
4961,P1639 P1522 P107 P37 P362 P38 P36 P1011 P839 P869 P169 P170,2013-3-30
4962,P3506 P759 P738 P3359 P21 P131 P556 P717 P860,2013-3-30
4963,P1208 P1090 P1275 P714 P443 P1774 P200 P200 P91 P531 P454 P1133 P1251 P212 P705 P213 P1262 P799 P1012 P212 P1012 P1894 P1993 P2145 P3229 P3228 P3231 P150 P1456 P982 P3507 P3521 P1448 P1395 P3157 P3157 P3156 P704 P37 P1509 P1507 P290 P3509 P418 P3511 P71 P393 P69 P72 P3525 P3526 P3927 P889 P3519 P3518 P519 P1848 P107 P2047 P3835 P2370 P2320 P1722 P351 P1571 P1746 P1440 P254 P3639 P2983 P838 P997 P2496 P621 P749 P1681 P36 P362 P37 P381 P1214 P2443 P722 P2222 P2020 P447 P100 P105,2013-3-30
4964,P788 P131 P2116 P2250 P2043 P738 P60 P773 P3302 P670 P752 P3318,2013-3-30
4965,P3302 P3406 P139 P77 P772 P353,2013-3-30
4966,P40 P137 P264 P3303 P293,2013-3-30
4967,P1 P625 P2397 P620 P10 P28 P531 P1641,2013-3-30
4968,P357 P149,2013-3-30
4969,P3756 P3754 P2023 P1440 P3505 P3794 P3793 P3653 P376 P457 P612 P1057,2013-3-30
4970,P89 P3614 P863 P622 P1646 P584 P303 P40 P811 P2083 P2082 P1064 P321 P2705 P3453 P266 P56 P555,2013-3-30
4971,P3095 P3102 P3088 P131,2013-3-30
4972,P149 P2008 P3239 P2406,2013-3-30
4973,P118,2013-3-30
4974,P3341 P166 P129 P3821 P10 P3813,2013-3-30
4975,P618 P92 P1544 P860 P1813 P1324 P1633 P2614 P2076 P2150 P1737 P2615 P860 P772 P1219 P953 P6,2013-3-30
4976,P2352 P37 P199 P266 P1536 P1542 P318 P1491,2013-3-30
4977,P10 P3813 P3217 P3860 P1383 P678 P8 P3738 P196 P197 P27 P29,2013-3-30
4978,P1211 P1491 P1976 P2336 P2932 P3088 P3217 P3229 P162 P1248 P434 P69 P2929 P2919 P1641 P1240 P857 P1761,2013-3-30
4979,P526,2013-3-30
4980,P2378,2013-3-30
4981,P2333 P174,2013-3-30
4982,P1934,2013-3-30
4983,P1349 P1410,2013-3-30
4984,P3463 P3464,2013-3-30
4985,P129 P144 P2569,2013-3-30
4986,P677,2013-3-30
4987,P1912 P2567 P1179,2013-3-30
4988,P1200,2013-3-31
4989,P141 P920,2013-3-31
4990,P3408 P3407 P1427 P114 P113 P81 P59 P77 P76 P772 P157 P773 P66 P358 P641 P139,2013-3-31
4991,P831 P665 P1758 P2417 P308 P446 P1516 P1178 P3220 P293 P97 P264 P1514 P1567 P1353 P240 P622 P30 P716 P1591 P648 P1590 P1490 P843 P76 P406 P2096 P1454 P188 P1224 P1773 P1076 P1872 P1210 P1013 P2 P433 P783 P2253 P303 P1538 P2321,2013-3-31
4992,P3448 P3432 P3354 P1607 P175 P218 P920 P3555 P3532 P3660 P46 P3473 P693 P299 P300 P187 P323 P3421 P78 P3454 P3607 P606 P3521 P2603 P3057 P3048 P3763 P3924 P637 P636 P1132 P204 P870 P1082 P3324 P3329 P1354 P1,2013-3-31
4993,P637,2013-3-31
4994,P2984 P2250 P2656 P903 P2149 P186 P2234 P1471 P606 P1356 P1162 P21 P156 P157 P1978 P305 P10 P630 P995 P1230 P1134 P837 P630 P492 P369 P892 P2677 P819 P606 P28 P369 P1844 P727 P3399 P3406 P3408 P1269 P2233 P2620 P437 P156 P767 P926 P16 P1471 P2234 P378 P379 P177 P21 P305 P481 P3399 P1857 P788 P606 P892 P3408,2013-3-31
4995,P3088 P71 P289 P1194 P1061 P85 P1275 P162 P161 P425 P183 P529 P996 P755 P192 P1575 P262 P392 P3098 P528 P1409 P1145 P298 P199 P45 P69 P133 P2383,2013-3-31
4996,P1619,2013-3-31
4997,P384 P37 P839 P110 P54 P1063 P604 P604 P1351 P182 P708 P2078 P286 P205 P1127 P293 P869 P160 P390 P1354 P381,2013-3-31
4998,P71 P1083 P1809 P28 P29 P149 P1918 P2569 P2919 P2475 P2761 P1249 P166 P69 P1242,2013-3-31
4999,P2334 P2333 P2332 P2331 P2338 P2337,2013-3-31
5000,P58 P261 P1 P55 P222 P1090 P200 P91 P244 P1005 P3060 P2226 P883 P3683 P2198 P1470 P3545 P3536 P127 P403 P3743 P1256 P3027,2013-3-31
5001,P597 P814 P1227 P1676 P1678 P690 P100 P1068 P861 P1245 P863 P463 P1922 P2271,2013-3-31
5002,P235 P2683 P2679 P391 P215 P4,2013-3-31
5003,P130 P2023 P338 P1620 P1561 P222 P233 P1440 P305 P1602 P222 P1 P55 P54 P121 P1396 P211 P893 P523 P310,2013-3-31
5004,P3730 P1331 P49 P3862 P3861 P3738 P8 P3733 P57 P216,2013-3-31
5005,P3957 P2603,2013-3-31
5006,P2899 P3711 P1684 P3629 P153 P99 P638 P3943 P3941 P3953 P3939 P3934 P3825 P3831 P3839 P3846 P3847 P3833 P3824 P3832 P3922 P2223 P2403 P2851 P2567 P2852 P1912 P671 P1475 P425 P3684 P263 P1405 P733 P266 P984 P2642 P1373 P1752 P511 P2178 P1224 P3682 P680,2013-3-31
5007,P314 P1361 P548 P1382 P1568 P319 P1381 P695 P679 P1138 P678 P2666 P2084 P1757 P644 P1998 P1584 P720 P3438 P3123 P480 P3448 P174 P733 P3319 P1070 P131 P1663 P1394 P295 P821 P822 P2898 P3620 P1130 P1131 P1027 P1541 P550 P1380 P796,2013-3-31
5008,P3848 P3719 P79 P117 P2602 P3566 P3567 P3568 P3653 P3428 P3570 P376 P457 P375 P3821,2013-3-31
5009,P174,2013-3-31
5010,P1688 P312 P10,2013-3-31
5011,P305 P3347 P1289 P122 P306 P166 P1918 P2253 P638 P961 P1293 P1997 P10 P772 P76 P3366 P3367 P3399 P1240 P1266 P125,2013-3-31
5012,P3359 P3813 P3816,2013-3-31
5013,P3448 P3432 P3468 P210 P1367,2013-3-31
5014,P462 P795 P793 P1216 P1423 P2255 P313 P2145 P1480 P687 P169 P382 P383 P318 P1034 P1946 P71 P69 P3231 P3511,2013-3-31
5015,P381 P1 P664 P1743 P10 P1825 P1641 P495 P294,2013-3-31
5016,P171 P982 P969 P1344 P805 P1353,2013-3-31
5017,P3399 P776 P258,2013-3-31
5018,P3569 P58 P130 P126 P3317 P3536 P1 P71 P265 P69 P293 P3399 P1918,2013-3-31
5019,P1618 P2602 P1246 P451 P55 P2724 P126 P707 P1513 P79 P1394 P751 P434 P1011 P133 P449 P1410 P1589 P1765 P222,2013-3-31
5020,P1284 P1936 P1056 P3438 P575 P572 P577 P576 P573 P574 P140 P3302 P3406 P832 P1428 P2236 P3399 P113 P3446 P252 P2857 P526 P1692 P527 P1986 P2603 P567 P420 P1048 P3446 P1664 P288 P1134 P3095 P3104 P1123 P1329 P287 P514 P2145 P1663 P72 P247 P71 P3220 P1860 P581 P887 P1262 P2404 P353 P3300 P134 P60 P358 P773 P3407 P3408 P1769 P3359 P110 P337 P2341 P266,2013-3-31
5021,P415 P426 P1444 P2404,2013-3-31
